	Xboc_CILIATED_CELLS	Xboc_EPIDERMIS	Xboc_EXCRETORY	Xboc_GLAND1	Xboc_GLAND2	Xboc_GLAND3	Xboc_GLAND4	Xboc_GUT	Xboc_MUSCLE	Xboc_MUSCLE-LIKE	Xboc_NEURON	Xboc_PHARYNGEAL	Xboc_PIGMENT	Xboc_SECRETORY_EPITHELIIUM_1	Xboc_SECRETORY_EPITHELIIUM_2	Xboc_SECRETORY_EPITHELIIUM_3	Xboc_SECRETORY_EPITHELIIUM_4	Xboc_unk1	Xboc_unk2	Xboc_unk3	Xboc_unk4	Xboc_unk5	Xboc_unk6	Xboc_unk7	Xboc_unk8	Xboc_unk9	Spur_Aboral ectoderm	Spur_Anus	Spur_Apical plate	Spur_Blastocoelar cells	Spur_Cardiac sphincter	Spur_Ciliary band	Spur_Coelomic pouches	Spur_Esophageal muscles	Spur_Esophagus	Spur_Exocrine pancreas-like	Spur_Immune cells	Spur_Intestine	Spur_Lower oral ectoderm	Spur_Neurons	Spur_Pyloric sphincter	Spur_Skeleton	Spur_Stomach (1)	Spur_Stomach (2)	Spur_Stomach (3)	Spur_Undefined	Spur_Upper oral ectoderm
Xboc_unk4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014515576300405942	0.01539789111105964	0.001037867359654788	0.0	0.00045498863523073415	0.04018536474507211	0.0	0.0025030379447880044	0.0178375444556502	0.0037232375895781106	0.025056629556510075	0.008833720042331204	0.0007908788454991435	0.002036614925165135	0.0013793366475699414	0.00012679593829756792	0.046213856613968166	0.0023556550239460217	8.862478082124082e-05	0.5372259070253408	0.08401906092874187
Xboc_unk5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014259895996523891	0.00962054187776028	0.005937275490156003	0.007803220094070128	0.006327089774939246	0.07062379980880783	0.025005527316504305	0.019053443802816872	0.004599806799013956	0.019259927801836076	0.022208643355517737	0.014210537318451053	0.0006652509412794761	0.0032868862332601717	0.00887976554450947	0.0003625269693998105	0.04191780293843606	0.011722221880838461	0.0005412707585608501	0.2783604445448228	0.08529547759367094
Xboc_unk6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014367583627850802	0.0035305021676698438	0.0	0.0	0.00037851408268053716	0.005233221375717645	0.0	0.0	0.000995358227917001	0.0037122961643441996	0.006766761721898754	0.004958711918025089	0.0	0.0007012852794830795	0.004817309627115898	0.0	0.07245250971719838	0.03858482147334843	0.0026086330590865815	0.10123306455749181	0.028513593192753185
Xboc_unk7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03438072551348997	0.003924527734905436	0.0020071725104874316	0.0005428431070535147	0.0005134283413097822	0.053110157424639835	0.004451674164324225	0.010935941850605991	0.004389618969452966	0.00041935576344133256	0.007447102816845042	0.0039171050107341164	0.0027086169365826297	0.0007296274119007668	0.00023931290650567794	0.0	0.011845253829346996	0.002426508197809398	0.0001958801400401655	0.135289106119243	0.10332026582278153
Xboc_unk8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004271904341263438	0.011785565185411647	0.00687885746671896	0.0	0.00916583805802538	0.057254027355930714	0.001204609319701637	0.0005359367831706763	0.00044301092000692603	0.1326387988613833	0.0024841809337890174	0.003964541509731071	0.00023234568192801692	0.0010330024508378886	0.006083784238586607	0.0	0.007879269682476415	0.011106041931896675	0.0	0.47870389729572593	0.05279457772966471
Xboc_unk9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02158599799555233	0.06318975155719381	0.08216630570367653	0.017300470339533087	0.020375688584845772	0.8024501974540865	0.5316821272966253	0.018871387829191722	0.3163712356579465	0.053838828737971724	0.0267681957357922	0.16709780745192473	0.0819385673018759	0.1063398090958176	0.3142331378080323	0.05581851739229724	0.055616383965011215	0.27983498353536945	0.41612732046125345	0.1375124575930592	0.4390560965168647
Spur_Aboral ectoderm	0.2372874558332966	0.49052419949682713	0.009254408083097378	0.02863906309135587	0.026690405389484573	0.010369143900370777	0.08113672943036473	0.19334377729285168	0.01577911745995861	0.013658735345686984	0.01634653142203422	0.128741637043545	0.36060796353505725	0.0023189829738151655	0.0076271780085559295	0.0075505720509982084	0.007718361527173524	0.0038138275018512295	0.007815583585189046	0.0352045866269434	0.014515576300405942	0.014259895996523891	0.014367583627850802	0.03438072551348997	0.004271904341263438	0.02158599799555233	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spur_Anus	0.05573780204085031	0.1366601307879462	0.746726042111211	0.0018163511067761707	0.013035683936589354	0.00877762595116179	0.0016286036626161234	0.5043520274447219	0.028477417087743144	0.006091636619663584	0.050534817838616096	0.023763914733209997	0.012425270575573358	0.0013618064000603153	0.0	0.0012303664651779913	0.004138410835180105	0.008837749960288365	0.008510834599933492	0.028836538738202	0.01539789111105964	0.00962054187776028	0.0035305021676698438	0.003924527734905436	0.011785565185411647	0.06318975155719381	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spur_Apical plate	0.3220348038328843	0.20525379867145138	0.001198186836006735	0.007020586442180178	0.033731544464590375	0.005865138340737782	0.0032695475758395425	0.20055301596315228	0.012173671840164362	0.01080890833177962	0.022662498134024798	0.0040528847128425294	0.06746516198179157	0.0005413543180578204	0.004743042921561443	0.0009823231086153383	0.007445877611498555	0.0036638229597956568	0.001432086386925761	0.012969375697799341	0.001037867359654788	0.005937275490156003	0.0	0.0020071725104874316	0.00687885746671896	0.08216630570367653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Spur_Blastocoelar cells	0.012437924437308255	0.30715473845495034	0.0	0.001983769823551402	0.03745176309909763	0.016263111579553853	0.0	0.1768339352899228	0.6310850084248465	0.05116850549599709	0.003371378791260169	0.0	0.00201406942758663	0.05472019596755272	0.07924381955201941	0.06359863845168404	0.13600558668279533	0.010200786884621352	0.0008237701813842351	0.022313467365567274	0.0	0.007803220094070128	0.0	0.0005428431070535147	0.0	0.017300470339533087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
