	Xboc_CILIATED_CELLS	Xboc_EPIDERMIS	Xboc_EXCRETORY	Xboc_GLAND1	Xboc_GLAND2	Xboc_GLAND3	Xboc_GLAND4	Xboc_GUT	Xboc_MUSCLE	Xboc_MUSCLE-LIKE	Xboc_NEURON	Xboc_PHARYNGEAL	Xboc_PIGMENT	Xboc_SECRETORY_EPITHELIIUM_1	Xboc_SECRETORY_EPITHELIIUM_2	Xboc_SECRETORY_EPITHELIIUM_3	Xboc_SECRETORY_EPITHELIIUM_4	Xboc_unk1	Xboc_unk2	Xboc_unk3	Xboc_unk4	Xboc_unk5	Xboc_unk6	Xboc_unk7	Xboc_unk8	Xboc_unk9	Isopu_TRP+ neurons	Isopu_chemosensory	Isopu_cilia related	Isopu_contamination	Isopu_digestive I	Isopu_digestive II	Isopu_epithelial I	Isopu_epithelial II	Isopu_muscle	Isopu_neurons	Isopu_secretory cells	Isopu_sensory neurons	Isopu_stem cells	Isopu_uncharacterized
Isopu_digestive I	0.02418380066250022	0.6771587719362708	0.021649285915316625	0.015937592937101196	0.040553190313079086	0.036290752016478176	0.013372351646044774	0.5920717225391403	0.028152556366216042	0.04353207828616975	0.01764863256426299	0.06386403339807532	0.1519040658455943	0.007817401171504335	0.011795668418094174	0.02408546582213411	0.019818618882601276	0.0829445451736198	0.008656446835423602	0.060937624323867935	0.029493797263396376	0.016841449244490356	0.09769665212395318	0.1364987105385063	0.07898642957536696	0.19447059152807836	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Isopu_digestive II	0.03999589185500915	0.28851202648772856	0.032866758559493496	0.01226550644568523	0.09489075677864992	0.024652726021932855	0.017541013256281584	0.5053807577506884	0.017440755294822065	0.030861568176101917	0.05438369198568475	0.018191555611172184	0.09200524030064246	0.0012520882302298401	0.001571317406854208	0.0015825397280731716	0.02261350529934334	0.031187405080381515	0.015880277179165105	0.054818101705117805	0.039892040981683044	0.03464741365332709	0.015965453982701643	0.005163841098156549	0.01352758132514952	0.05798811511400816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Isopu_epithelial I	0.769121630014128	0.06685202443205858	0.11296867073460133	0.04305693864633724	0.0950365916974296	0.03424732485953555	0.045488789486696324	0.13533426960256026	0.013984481353669673	0.045274412006737395	0.04718884620847073	0.012773455547981238	0.015125881676369482	0.010664823258503158	0.0016199270348490227	0.032020924465844015	0.015158492713205124	0.020347621346476642	0.02148700520755909	0.057816417279824325	0.051863265676657645	0.051637727329505834	0.05325522036368034	0.09531595901669201	0.07553455988926255	0.010702563447200204	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Isopu_epithelial II	0.780666430253234	0.0448734003209434	0.01617323011862957	0.0026491933400966177	0.006115210279528376	0.09016670629531717	0.005072656529321035	0.02737349082713243	0.009527628880840282	0.0037419472306603847	0.062183307345511106	0.012161041043001284	0.025815320236887863	0.0004336811811502833	0.011354061185455054	0.005210059212607326	0.011252964714511485	0.11254578280051153	0.007703268530926573	0.01749992093710436	0.018381968655140947	0.02500330275314317	0.002211612967783275	0.023437575347473906	0.0004759206818408265	0.026421831421764474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Isopu_muscle	0.0754759946057645	0.04267600897795197	0.031799444842409284	0.0580867833085158	0.10499969521886195	0.07085417830410844	0.02473016399635074	0.1446469097065379	0.9659321562014485	0.33023863592306685	0.029993892680199113	0.025947050006422036	0.06556790476686243	0.009239370519502561	0.008302745753897672	0.016970868088905473	0.008259938813284674	0.044000509417720934	0.026392522169844872	0.1564378334919632	0.03878605171322793	0.18690078328382864	0.06115206446759015	0.1304492793441933	0.11876438607874522	0.014613520206375224	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Isopu_neurons	0.12464053898406627	0.13746140487836142	0.09526414001980153	0.16176178879394898	0.21678388635527032	0.18983788735115262	0.06512620881417543	0.472278849159542	0.04353910875025119	0.10131165983787305	0.3528206601050398	0.2757223513633316	0.12973112790128863	0.010853020547826268	0.06119708951257935	0.024815250955990093	0.059095284453373455	0.13363415295280429	0.11844002559415442	0.15491083112791618	0.13604871033966132	0.13906129432705125	0.08363230653617201	0.11153299437915735	0.06656075859570913	0.07602882483156496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Isopu_secretory cells	0.018039807810602278	0.26100174755707484	0.005876997168863468	0.020108951976463407	0.10040420215734677	0.052218919487201254	0.008582750568150558	0.4212905009344582	0.0868268375162303	0.04958425018543104	0.0295665441019347	0.025594876128228923	0.03246251755754962	0.9583330489092872	0.401536173357972	0.730483857463787	0.603457141225469	0.043922960803684005	0.013295543652812589	0.1300110018417778	0.04560476601943584	0.1079077639183877	0.04899794997143934	0.03756168987829711	0.045509792270290686	0.05343239867654816	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Isopu_sensory neurons	0.3445133310101509	0.10166939856005378	0.03936044785887214	0.008214916792608749	0.11737234751263574	0.02140108643737663	0.03518545396811913	0.1338115497550375	0.026534250149000037	0.026742599695205555	0.46479061640271724	0.021512320590637544	0.034351611148806485	0.0019191589440850205	0.01280176734688301	0.017830279357377257	0.01432916840761822	0.05951922824410072	0.049816068928461396	0.05119035136191652	0.07450278365980481	0.051034805551449514	0.016192006163730843	0.050019747889061626	0.02545838445118952	0.02439406496874703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Isopu_stem cells	0.05955478895833549	0.10168248575120964	0.022037762067097053	0.04808767082921662	0.11635376920524362	0.041638142177210936	0.048896450882275774	0.3452456492377712	0.048061153429802536	0.06168833201907849	0.10596239536305715	0.07387144213500052	0.08192377727299768	0.07470002209005132	0.08359866875091117	0.033830399701245205	0.11843214273535799	0.22150552105303772	0.13503055319492357	0.12743393775700324	0.07389271457070079	0.10124275838629475	0.1909694148419025	0.493112652828348	0.28772027629472774	0.7349594794745624	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Isopu_uncharacterized	0.3267853059221768	0.11912013721118173	0.0071036230142605475	0.007801922252689127	0.03730071748220161	0.003162637904544271	0.0022674605162456563	0.17383228972035517	0.025952544458291336	0.004076239386723374	0.23092914801140138	0.013024161416945498	0.021261002251417565	0.000612855621066348	0.002287390791376148	0.017563018063744613	0.0038696985224755793	0.007181334118648025	0.01216826526032024	0.023337637216176717	0.01466182094476689	0.010774731624551188	0.019487543303515063	0.06023850800890188	0.03962914502100772	0.012787119653925783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
